"","reference","paperID","common_name","species_cleaned","dispersal_type"
"328","Serrano & Tella 2012","p113","lesser kestrel","Falco naumanni","natal"
"329","Briggs et al. 2012","p114","swainson's hawk","Buteo swainsoni","natal"
"330","Briggs et al. 2012","p114","swainson's hawk","Buteo swainsoni","natal"
"331","Molina-Morales et al. 2012","p115","common magpie","Pica pica","natal"
"332","Molina-Morales et al. 2012","p115","common magpie","Pica pica","breeding"
"333","Molina-Morales et al. 2012","p115","common magpie","Pica pica","breeding"
"334","Molina-Morales et al. 2012","p115","common magpie","Pica pica","breeding"
"335","Molina-Morales et al. 2012","p115","common magpie","Pica pica","breeding"
"336","Avril et al. 2012","p116","european hare","Lepus europaeus","natal"
"337","Avril et al. 2012","p116","european hare","Lepus europaeus","natal"
"338","Avril et al. 2012","p116","european hare","Lepus europaeus","natal"
"339","Avril et al. 2012","p116","european hare","Lepus europaeus","natal"
"340","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"341","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"342","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"343","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"344","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"345","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"346","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"347","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"348","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"349","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"350","Newby et al. 2013","p118","puma","Puma concolor","natal"
"351","Nevoux et al. 2013","p119","mauritius kestrel","Falco punctatus","natal"
"352","Nevoux et al. 2013","p119","mauritius kestrel","Falco punctatus","natal"
"353","Nevoux et al. 2013","p119","mauritius kestrel","Falco punctatus","natal"
"354","Nevoux et al. 2013","p119","mauritius kestrel","Falco punctatus","natal"
"355","Nevoux et al. 2013","p119","mauritius kestrel","Falco punctatus","natal"
"356","Nevoux et al. 2013","p119","mauritius kestrel","Falco punctatus","natal"
"357","Nevoux et al. 2013","p119","mauritius kestrel","Falco punctatus","natal"
"358","Nevoux et al. 2013","p119","mauritius kestrel","Falco punctatus","natal"
"359","Nevoux et al. 2013","p119","mauritius kestrel","Falco punctatus","natal"
"360","Nevoux et al. 2013","p119","mauritius kestrel","Falco punctatus","natal"
"361","Martin et al. 2014","p121","black sparrowhawk","Accipiter melanoleucus","breeding"
"362","Martin et al. 2014","p121","black sparrowhawk","Accipiter melanoleucus","breeding"
"363","García-Navas et al. 2014","p122","blue tit","Cyanistes caeruleus","natal"
"364","García-Navas et al. 2014","p122","blue tit","Cyanistes caeruleus","natal"
"365","García-Navas et al. 2014","p122","blue tit","Cyanistes caeruleus","natal"
"366","García-Navas et al. 2014","p122","blue tit","Cyanistes caeruleus","natal"
"367","García-Navas et al. 2014","p122","blue tit","Cyanistes caeruleus","natal"
"368","García-Navas et al. 2014","p122","blue tit","Cyanistes caeruleus","natal"
"369","García-Navas et al. 2014","p122","blue tit","Cyanistes caeruleus","natal"
"370","García-Navas et al. 2014","p122","blue tit","Cyanistes caeruleus","natal"
"371","García-Navas et al. 2014","p122","blue tit","Cyanistes caeruleus","natal"
"372","García-Navas et al. 2014","p122","blue tit","Cyanistes caeruleus","natal"
"373","García-Navas et al. 2014","p122","blue tit","Cyanistes caeruleus","natal"
"374","García-Navas et al. 2014","p122","blue tit","Cyanistes caeruleus","natal"
"375","García-Navas et al. 2014","p122","blue tit","Cyanistes caeruleus","natal"
"376","García-Navas et al. 2014","p122","blue tit","Cyanistes caeruleus","natal"
"377","Cotto et al. 2015","p123","common lizard","Zootoca vivipara","natal"
"378","Cotto et al. 2015","p123","common lizard","Zootoca vivipara","natal"
"379","Cotto et al. 2015","p123","common lizard","Zootoca vivipara","natal"
"380","Cotto et al. 2015","p123","common lizard","Zootoca vivipara","natal"
"381","Cotto et al. 2015","p123","common lizard","Zootoca vivipara","natal"
"382","Cotto et al. 2015","p123","common lizard","Zootoca vivipara","natal"
"383","Cotto et al. 2015","p123","common lizard","Zootoca vivipara","natal"
"384","Cotto et al. 2015","p123","common lizard","Zootoca vivipara","natal"
"385","Cotto et al. 2015","p123","common lizard","Zootoca vivipara","natal"
"386","Castaño et al. 2015","p124","black vulture","Aegypius monachus","natal"
"387","van Overveld et al. 2015","p125","great tit","Parus major","natal"
"388","van Overveld et al. 2015","p125","great tit","Parus major","natal"
"389","van Overveld et al. 2015","p125","great tit","Parus major","natal"
"390","van Overveld et al. 2015","p125","great tit","Parus major","natal"
"391","van Overveld et al. 2015","p125","great tit","Parus major","natal"
"392","van Overveld et al. 2015","p125","great tit","Parus major","natal"
"393","van Overveld et al. 2015","p125","great tit","Parus major","natal"
"394","van Overveld et al. 2015","p125","great tit","Parus major","natal"
"395","Manjerovic & Waterman 2015","p126","cape ground squirrel","Xerus inauris","natal"
"396","Fasciolo et al. 2016","p127","eagle owl","Bubo bubo","B"
"397","Fasciolo et al. 2016","p127","eagle owl","Bubo bubo","B"
"398","Dvidian et al. 2016","p128","spotted hyena","Crocuta crocuta","natal"
"399","Dvidian et al. 2016","p128","spotted hyena","Crocuta crocuta","natal"
"400","Dvidian et al. 2016","p128","spotted hyena","Crocuta crocuta","natal"
"401","Pakanen et al. 2016","p129","willow tit","Poecile montanus","natal"
"402","Pakanen et al. 2016","p129","willow tit","Poecile montanus","natal"
"403","Åkesson et al. 2016","p130","gray wolf","Canis lupus","natal"
"404","Åkesson et al. 2016","p130","gray wolf","Canis lupus","natal"
"405","Paris et al. 2016","p131","chatham island black robin","Petroica traversi","natal"
"406","Paris et al. 2016","p131","chatham island black robin","Petroica traversi","natal"
"407","Récapet et al. 2016","p132","collared flycatcher","Ficedula albicollis","natal"
"408","Récapet et al. 2016","p132","collared flycatcher","Ficedula albicollis","natal"
"409","Récapet et al. 2016","p132","collared flycatcher","Ficedula albicollis","natal"
"410","Récapet et al. 2016","p132","collared flycatcher","Ficedula albicollis","natal"
"411","Récapet et al. 2016","p132","collared flycatcher","Ficedula albicollis","natal"
"412","Récapet et al. 2016","p132","collared flycatcher","Ficedula albicollis","natal"
"413","Récapet et al. 2016","p132","collared flycatcher","Ficedula albicollis","natal"
"414","Récapet et al. 2016","p132","collared flycatcher","Ficedula albicollis","natal"
"415","Kapota et al.. 2016","p133","red fox","Vulpes vulpes","natal"
"416","Kapota et al.. 2016","p133","golden jackal","Canis aureus","natal"
"417","Kapota et al.. 2016","p133","golden jackal","Canis aureus","natal"
"418","Kingma et al. 2016","p134","seychelles warbler","Acrocephalus sechellensis","natal"
"419","Kingma et al. 2016","p134","seychelles warbler","Acrocephalus sechellensis","natal"
"420","García-Navas et al. 2016","p135","snow vole","Chionomys nivalis","natal"
"421","García-Navas et al. 2016","p135","snow vole","Chionomys nivalis","natal"
"422","Walters & Garcia 2016","p136","red-cockaded woodpecker","Picoides borealis","natal"
"423","Walters & Garcia 2016","p136","red-cockaded woodpecker","Picoides borealis","natal"
"424","Walters & Garcia 2016","p136","red-cockaded woodpecker","Picoides borealis","natal"
"425","Walters & Garcia 2016","p136","red-cockaded woodpecker","Picoides borealis","natal"
"426","Veenstra & Byrne 1999","p137","sweet potato whitefly","Bemisia tabaci","B"
"427","Veenstra & Byrne 1999","p137","sweet potato whitefly","Bemisia tabaci","B"
"428","Récapet et al. 2017","p138","collared flycatcher","Ficedula albicollis","B"
"429","Récapet et al. 2017","p138","collared flycatcher","Ficedula albicollis","B"
"430","Germain et al. 2017b","p139","collared flycatcher","Ficedula albicollis","natal"
"431","Germain et al. 2017b","p139","collared flycatcher","Ficedula albicollis","natal"
"432","Germain et al. 2017a","p140","collared flycatcher","Ficedula albicollis","B"
"433","Germain et al. 2017a","p140","collared flycatcher","Ficedula albicollis","B"
"434","Germain et al. 2017a","p140","collared flycatcher","Ficedula albicollis","B"
"435","Germain et al. 2017a","p140","collared flycatcher","Ficedula albicollis","B"
"436","Keppie 2004","p141","spruce grouse","Falcipennis canadensis","natal"
"437","Keppie 2004","p141","spruce grouse","Falcipennis canadensis","natal"
"438","Keppie 2004","p141","spruce grouse","Falcipennis canadensis","natal"
"439","Keppie 2004","p141","spruce grouse","Falcipennis canadensis","natal"
"440","Terraube et al. 2015","p142","eurasian kestrel","Falco tinnunculus","breeding"
"441","Terraube et al. 2015","p142","eurasian kestrel","Falco tinnunculus","breeding"
"442","Terraube et al. 2015","p142","eurasian kestrel","Falco tinnunculus","breeding"
"443","Terraube et al. 2015","p142","eurasian kestrel","Falco tinnunculus","breeding"
"444","Nelson-Flower et al. 2018","p143","southern pied babblers","Turdoides bicolor","natal"
"445","Nelson-Flower et al. 2018","p143","southern pied babblers","Turdoides bicolor","natal"
"446","Parthasarathy & Somanathan 2018","p144","indian cooperative spider","Stegodyphus sarasinorum","natal"
"447","Parthasarathy & Somanathan 2018","p144","indian cooperative spider","Stegodyphus sarasinorum","natal"
"448","Parthasarathy & Somanathan 2018","p144","indian cooperative spider","Stegodyphus sarasinorum","natal"
"449","Qu et al. 2018","p145","plateau pika","Ochotona curzoniae","natal"
"450","Qu et al. 2018","p145","plateau pika","Ochotona curzoniae","natal"
"451","Jundong et al. 2018","p146","taihangshan macaque","Macaca mulatta","natal"
"452","Green & Hatchwell 2018","p147","long-tailed tit","Aegithalos caudatus","natal"
"453","Green & Hatchwell 2018","p147","long-tailed tit","Aegithalos caudatus","natal"
"454","Green & Hatchwell 2018","p147","long-tailed tit","Aegithalos caudatus","natal"
"455","Green & Hatchwell 2018","p147","long-tailed tit","Aegithalos caudatus","natal"
"456","Green & Hatchwell 2018","p147","long-tailed tit","Aegithalos caudatus","natal"
"457","Green & Hatchwell 2018","p147","long-tailed tit","Aegithalos caudatus","natal"
"458","Morton et al. 2018","p148","peregrine falcon","Falco peregrinus","natal"
"459","Morton et al. 2018","p148","peregrine falcon","Falco peregrinus","natal"
"460","Russell & Rowley 2000","p149","red-winged fairy-wren","Malurus elegans","breeding"
"461","Russell & Rowley 2000","p149","red-winged fairy-wren","Malurus elegans","breeding"
"462","Botero-Delgadillo et al. 2019","p150","thorn-tailed rayadito","Aphrastura spinicauda","natal"
"463","Botero-Delgadillo et al. 2019","p150","thorn-tailed rayadito","Aphrastura spinicauda","natal"
"464","Botero-Delgadillo et al. 2019","p150","thorn-tailed rayadito","Aphrastura spinicauda","natal"
"465","Williams & Boyle 2023","p151","grasshopper sparrow","Ammodramus savannarum","breeding"
"466","Manguette et al. 2019","p152","western lowland gorilla","Gorilla gorilla gorilla","breeding"
"467","Manguette et al. 2019","p152","western lowland gorilla","Gorilla gorilla gorilla","breeding"
"468","Johnson et al. 2019","p153","cliff swallow","Petrochelidon pyrrhonota","breeding"
"469","Haus et al. 2019","p154","white-tailed deer","Odocoileus virginianus","natal"
"470","Debeffe et al. 2015","p155","horse","Equus caballus","breeding"
"471","Debeffe et al. 2015","p155","horse","Equus caballus","breeding"
"472","Bhaumik & Junte 2020","p157","common emigrant","Catopsilia pomona","natal"
"473","Bhaumik & Junte 2020","p157","mottled emigrant","Catopsilia pyranthe","natal"
"474","Gabriele et al. 2020","p158","african wild dog","Lycaon pictus","natal"
"475","Gabriele et al. 2020","p158","african wild dog","Lycaon pictus","natal"
"476","Schaub & von Hirschheydt 2009","p159","barn swallow","Hirundo rustica","breeding"
"477","Schaub & von Hirschheydt 2009","p159","barn swallow","Hirundo rustica","breeding"
"478","Hebblewhite & Whittington 2020","p160","gray wolf","Canis lupus","B"
"479","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"480","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"481","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"482","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"483","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"484","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"485","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"486","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"487","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"488","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"489","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"490","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"491","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"492","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"493","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"494","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"495","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"496","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","natal"
"497","Öst et al. 2011","p162","eider","Somateria mollissima","breeding"
"498","Woodroffe et al. 2020","p163","african wild dog","Lycaon pictus","B"
"499","Plummer et al. 2020","p164","red-bellied mudsnake","Farancia abacura","breeding"
"500","Luna et al. 2020","p165","burrowing owl","Athene cunicularia","natal"
"501","Luna et al. 2020","p165","burrowing owl","Athene cunicularia","natal"
"502","Nicolaus et al. 2019","p166","pied flycatcher","Ficedula hypoleuca","breeding"
"503","Nicolaus et al. 2019","p166","pied flycatcher","Ficedula hypoleuca","breeding"
"504","Wiebe 2020","p167","northern flicker","Colaptes auratus","natal"
"505","Wiebe 2020","p167","northern flicker","Colaptes auratus","natal"
"506","Fuirst et al. 2021","p168","canada jay","Perisoreus canadensis","breeding"
"507","Fuirst et al. 2021","p168","canada jay","Perisoreus canadensis","breeding"
"508","Fuirst et al. 2021","p168","canada jay","Perisoreus canadensis","breeding"
"509","Fuirst et al. 2021","p168","canada jay","Perisoreus canadensis","breeding"
"510","Warren et al. 2017","p169","southeastern pocket gopher","Geomys pinetis","breeding"
"511","Irwin et al. 2021","p170","red-fronted parakeet","Cyanoramphus novaezelandiae","natal"
"512","Harrison et al. 2021","p171","meerkat","Suricata suricatta","natal"
"513","Harrison et al. 2021","p171","meerkat","Suricata suricatta","natal"
"514","Harrison et al. 2021","p171","meerkat","Suricata suricatta","natal"
"515","Harrison et al. 2021","p171","meerkat","Suricata suricatta","natal"
"516","Harrison et al. 2021","p171","meerkat","Suricata suricatta","natal"
"517","Marzluff et al. 2016","p172","songbird (bewick's wren, dark-eyed junco, spotted towhee, song sparrow)","Junco hyemalis","breeding"
"518","Marzluff et al. 2016","p172","songbird (bewick's wren, dark-eyed junco, spotted towhee, song sparrow)","Junco hyemalis","breeding"
"519","Marzluff et al. 2016","p172","songbird (bewick's wren, dark-eyed junco, spotted towhee, song sparrow)","Junco hyemalis","breeding"
"520","Marzluff et al. 2016","p172","songbird (bewick's wren, dark-eyed junco, spotted towhee, song sparrow)","Junco hyemalis","breeding"
"521","Bensch et al. 1998","p173","great reed warbler","Acrocephalus arundinaceus","natal"
"522","Bensch et al. 1998","p173","great reed warbler","Acrocephalus arundinaceus","natal"
"523","Bensch et al. 1998","p173","great reed warbler","Acrocephalus arundinaceus","natal"
"524","Bensch et al. 1998","p173","great reed warbler","Acrocephalus arundinaceus","natal"
"525","Bensch et al. 1998","p173","great reed warbler","Acrocephalus arundinaceus","natal"
"526","Bensch et al. 1998","p173","great reed warbler","Acrocephalus arundinaceus","natal"
"527","Orell et al. 1999","p174","willow tit","Poecile montanus","breeding"
"528","Orell et al. 1999","p174","willow tit","Poecile montanus","breeding"
"529","Orell et al. 1999","p174","willow tit","Poecile montanus","breeding"
"530","Orell et al. 1999","p174","willow tit","Poecile montanus","breeding"
"531","Orell et al. 1999","p174","willow tit","Poecile montanus","breeding"
"532","Orell et al. 1999","p174","willow tit","Poecile montanus","breeding"
"533","Orell et al. 1999","p174","willow tit","Poecile montanus","breeding"
"534","Orell et al. 1999","p174","willow tit","Poecile montanus","breeding"
"535","Orell et al. 1999","p174","willow tit","Poecile montanus","breeding"
"536","Orell et al. 1999","p174","willow tit","Poecile montanus","breeding"
"537","Julliard et al. 1996","p175","blue tit","Cyanistes caeruleus","breeding"
"538","Julliard et al. 1996","p175","blue tit","Cyanistes caeruleus","breeding"
"539","Julliard et al. 1996","p175","blue tit","Cyanistes caeruleus","breeding"
"540","Josi et al. 2021","p176","striped brichardi","Neolamprologus savoryi","breeding"
"541","Josi et al. 2021","p176","striped brichardi","Neolamprologus savoryi","breeding"
"542","Pittman & Bartoszek 2021","p177","burmese python","Python bivittatus","natal"
"543","Pittman & Bartoszek 2021","p177","burmese python","Python bivittatus","natal"
"544","Long et al. 2021","p178","white-tailed deer","Odocoileus virginianus","natal"
"545","Long et al. 2021","p178","white-tailed deer","Odocoileus virginianus","natal"
"546","Novoa et al. 2021","p179","rock ptarmigan","Lagopus muta","natal"
"547","McCleery & Clobert 1990","p180","great tit","Parus major","natal"
"548","McCleery & Clobert 1990","p180","great tit","Parus major","natal"
"549","McCleery & Clobert 1990","p180","great tit","Parus major","natal"
"550","McCleery & Clobert 1990","p180","great tit","Parus major","natal"
"551","Marr et al. 2002","p181","song sparrow","Melospiza melodia","natal"
"552","Marr et al. 2002","p181","song sparrow","Melospiza melodia","natal"
"553","Marr et al. 2002","p181","song sparrow","Melospiza melodia","natal"
"554","Marr et al. 2002","p181","song sparrow","Melospiza melodia","natal"
"555","Marr et al. 2002","p181","song sparrow","Melospiza melodia","natal"
"556","Marr et al. 2002","p181","song sparrow","Melospiza melodia","natal"
"557","Marr et al. 2002","p181","song sparrow","Melospiza melodia","natal"
"558","Marr et al. 2002","p181","song sparrow","Melospiza melodia","natal"
"559","Marr et al. 2002","p181","song sparrow","Melospiza melodia","natal"
"560","Marr et al. 2002","p181","song sparrow","Melospiza melodia","natal"
"561","Marr et al. 2002","p181","song sparrow","Melospiza melodia","natal"
"562","Pakanen et al. 2022","p182","southern dunlin","Calidris alpina","natal"
"563","Pakanen et al. 2022","p182","southern dunlin","Calidris alpina","natal"
"564","Shah & Rubenstein 2022","p183","superb starling","Lamprotornis superbus","natal"
"565","Shah & Rubenstein 2022","p183","superb starling","Lamprotornis superbus","natal"
"566","Shah & Rubenstein 2022","p183","superb starling","Lamprotornis superbus","natal"
"567","Shah & Rubenstein 2022","p183","superb starling","Lamprotornis superbus","natal"
"568","Shah & Rubenstein 2022","p183","superb starling","Lamprotornis superbus","natal"
"569","Shah & Rubenstein 2022","p183","superb starling","Lamprotornis superbus","natal"
"570","Wheelwright & Mauck 1998","p184","savannah sparrow","Passerculus sandwichensis","natal"
"571","Wheelwright & Mauck 1998","p184","savannah sparrow","Passerculus sandwichensis","natal"
"572","Wheelwright & Mauck 1998","p184","savannah sparrow","Passerculus sandwichensis","natal"
"573","Wheelwright & Mauck 1998","p184","savannah sparrow","Passerculus sandwichensis","natal"
"574","Wheelwright & Mauck 1998","p184","savannah sparrow","Passerculus sandwichensis","natal"
"575","Wheelwright & Mauck 1998","p184","savannah sparrow","Passerculus sandwichensis","natal"
"576","Wheelwright & Mauck 1998","p184","savannah sparrow","Passerculus sandwichensis","natal"
"577","Wheelwright & Mauck 1998","p184","savannah sparrow","Passerculus sandwichensis","natal"
"578","Wheelwright & Mauck 1998","p184","savannah sparrow","Passerculus sandwichensis","natal"
"579","Wheelwright & Mauck 1998","p184","savannah sparrow","Passerculus sandwichensis","natal"
"580","Wheelwright & Mauck 1998","p184","savannah sparrow","Passerculus sandwichensis","natal"
"581","Wheelwright & Mauck 1998","p184","savannah sparrow","Passerculus sandwichensis","natal"
"582","Otterbeck et al. 2022","p185","goshawk","Accipiter gentilis","breeding"
"583","Fargallo & López-Rull 2022","p186","common kestrel","Falco tinnunculus","natal"
"584","Fargallo & López-Rull 2022","p186","common kestrel","Falco tinnunculus","natal"
"585","Fargallo & López-Rull 2022","p186","common kestrel","Falco tinnunculus","natal"
"586","Fargallo & López-Rull 2022","p186","common kestrel","Falco tinnunculus","natal"
"587","Fargallo & López-Rull 2022","p186","common kestrel","Falco tinnunculus","natal"
"588","Fargallo & López-Rull 2022","p186","common kestrel","Falco tinnunculus","natal"
"589","Fargallo & López-Rull 2022","p186","common kestrel","Falco tinnunculus","natal"
"590","Fargallo & López-Rull 2022","p186","common kestrel","Falco tinnunculus","natal"
"591","Byrne et al. 2022","p187","wild turkey","Meleagris gallopavo","breeding"
"592","Borges et al. 2022","p188","trinidadian guppy","Poecilia reticulata","natal"
"593","Borges et al. 2022","p188","trinidadian guppy","Poecilia reticulata","natal"
"594","Campera et al. 2020","p189","javan slow loris","Nycticebus javanicus","natal"
"595","DiLeo et al. 2022","p190","glanville fritillary butterfly","Melitaea cinxia","natal"
"596","Verhulst & van Eck 1996","p191","great tit","Parus major","natal"
"597","Verhulst & van Eck 1996","p191","great tit","Parus major","natal"
"598","Maag et al. 2022","p192","meerkat","Suricata suricatta","natal"
"599","Maag et al. 2022","p192","meerkat","Suricata suricatta","natal"
"600","Maag et al. 2022","p192","meerkat","Suricata suricatta","natal"
"601","Maag et al. 2022","p192","meerkat","Suricata suricatta","natal"
"602","Maag et al. 2022","p192","meerkat","Suricata suricatta","natal"
"603","Ostreiher et al. 2022","p193","arabian babbler","Argya squamiceps","breeding"
"604","Ostreiher et al. 2022","p193","arabian babbler","Argya squamiceps","breeding"
"605","Hansen et al. 2023","p195","brown bear","Ursus arctos","natal"
"606","Hansen et al. 2023","p195","brown bear","Ursus arctos","natal"
"607","Hansen et al. 2023","p195","brown bear","Ursus arctos","natal"
"608","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","natal"
"609","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","natal"
"610","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","natal"
"611","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","natal"
"612","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","natal"
"613","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","natal"
"614","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","natal"
"615","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","natal"
"616","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","natal"
"617","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","natal"
"618","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","natal"
"619","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","natal"
"620","Mobley et al. 2019","p197","Atlantic salmon","Salmo salar","breeding"
"621","Mobley et al. 2019","p197","Atlantic salmon","Salmo salar","breeding"
"622","Mobley et al. 2019","p197","Atlantic salmon","Salmo salar","breeding"
"623","Mobley et al. 2019","p197","Atlantic salmon","Salmo salar","breeding"
"624","Passarotto et al. 2023","p198","tawny owl","Strix aluco","breeding"
"625","Passarotto et al. 2023","p198","tawny owl","Strix aluco","breeding"
"626","Passarotto et al. 2023","p198","tawny owl","Strix aluco","breeding"
"627","Passarotto et al. 2023","p198","tawny owl","Strix aluco","breeding"
"628","Spence-Jones et al. 2021","p068","meerkat","Suricata suricatta","breeding"
"629","Spence-Jones et al. 2021","p068","meerkat","Suricata suricatta","breeding"
"630","Spence-Jones et al. 2021","p068","meerkat","Suricata suricatta","breeding"
"631","Behr et al. 2022","p199","african wild dog","Lycaon pictus","natal"
"632","Behr et al. 2022","p199","african wild dog","Lycaon pictus","natal"
"633","Behr et al. 2022","p199","african wild dog","Lycaon pictus","natal"
"634","Behr et al. 2022","p199","african wild dog","Lycaon pictus","natal"
"635","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","natal"
"636","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","natal"
"637","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","natal"
"638","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","natal"
"639","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","natal"
"640","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","natal"
"641","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","natal"
"642","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","natal"
"643","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","natal"
"644","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","natal"
"645","Dickel et al. 2023","p201","song sparrow","Melospiza melodia","natal"
"646","Dickel et al. 2023","p201","song sparrow","Melospiza melodia","natal"
"647","Dickel et al. 2023","p201","song sparrow","Melospiza melodia","natal"
"648","Dickel et al. 2023","p201","song sparrow","Melospiza melodia","natal"
"649","Nicolaus et al. 2023","p202","pied flycatcher","Ficedula hypoleuca","breeding"
"650","Nicolaus et al. 2023","p202","pied flycatcher","Ficedula hypoleuca","breeding"
