"","reference","paperID","common_name","species","animal"
"447","Germain et al. 2017a","p140","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"448","Keppie 2004","p141","spruce grouse","Falcipennis canadensis","Falcipennis canadensis"
"449","Keppie 2004","p141","spruce grouse","Falcipennis canadensis","Falcipennis canadensis"
"450","Keppie 2004","p141","spruce grouse","Falcipennis canadensis","Falcipennis canadensis"
"451","Keppie 2004","p141","spruce grouse","Falcipennis canadensis","Falcipennis canadensis"
"452","Terraube et al. 2015","p142","eurasian kestrel","Falco tinnunculus","Falco tinnunculus"
"453","Terraube et al. 2015","p142","eurasian kestrel","Falco tinnunculus","Falco tinnunculus"
"454","Terraube et al. 2015","p142","eurasian kestrel","Falco tinnunculus","Falco tinnunculus"
"455","Terraube et al. 2015","p142","eurasian kestrel","Falco tinnunculus","Falco tinnunculus"
"456","Nelson-Flower et al. 2018","p143","southern pied babblers","Turdoides bicolor","Turdoides bicolor"
"457","Nelson-Flower et al. 2018","p143","southern pied babblers","Turdoides bicolor","Turdoides bicolor"
"458","Parthasarathy & Somanathan 2018","p144","indian cooperative spider","Stegodyphus sarasinorum","Stegodyphus sarasinorum"
"459","Parthasarathy & Somanathan 2018","p144","indian cooperative spider","Stegodyphus sarasinorum","Stegodyphus sarasinorum"
"460","Parthasarathy & Somanathan 2018","p144","indian cooperative spider","Stegodyphus sarasinorum","Stegodyphus sarasinorum"
"461","Qu et al. 2018","p145","plateau pika","Ochotona curzoniae","Ochotona curzoniae"
"462","Qu et al. 2018","p145","plateau pika","Ochotona curzoniae","Ochotona curzoniae"
"463","Jundong et al. 2018","p146","taihangshan macaque","Macaca mulatta tcheliensis","Macaca mulatta"
"464","Green & Hatchwell 2018","p147","long-tailed tit","Aegithalos caudatus","Aegithalos caudatus"
"465","Green & Hatchwell 2018","p147","long-tailed tit","Aegithalos caudatus","Aegithalos caudatus"
"466","Morton et al. 2018","p148","peregrine falcon","Falco peregrinus","Falco peregrinus"
"467","Morton et al. 2018","p148","peregrine falcon","Falco peregrinus","Falco peregrinus"
"468","Russell & Rowley 2000","p149","red-winged fairy-wren","Malurus elegans","Malurus elegans"
"469","Russell & Rowley 2000","p149","red-winged fairy-wren","Malurus elegans","Malurus elegans"
"470","Botero-Delgadillo et al. 2019","p150","thorn-tailed rayadito","Aphrastura spinicauda","Aphrastura spinicauda"
"471","Botero-Delgadillo et al. 2019","p150","thorn-tailed rayadito","Aphrastura spinicauda","Aphrastura spinicauda"
"472","Botero-Delgadillo et al. 2019","p150","thorn-tailed rayadito","Aphrastura spinicauda","Aphrastura spinicauda"
"473","Williams & Boyle 2023","p151","grasshopper sparrows","Ammodramus savannarum","Ammodramus savannarum"
"474","Manguette et al. 2019","p152","western lowland gorilla","Gorilla gorilla gorilla","Gorilla gorilla gorilla"
"475","Manguette et al. 2019","p152","western lowland gorilla","Gorilla gorilla gorilla","Gorilla gorilla gorilla"
"476","Johnson et al. 2019","p153","cliff swallow","Petrochelidon pyrrhonota","Petrochelidon pyrrhonota"
"477","Haus et al. 2019","p154","white-tailed deer","Odocoileus virginianus","Odocoileus virginianus"
"478","Debeffe et al. 2015","p155","horse","Equus caballus","Equus caballus"
"479","Debeffe et al. 2015","p155","horse","Equus caballus","Equus caballus"
"480","Bhaumik & Junte 2020","p157","common emigrant","Catopsilia pomona","Catopsilia pomona"
"481","Bhaumik & Junte 2020","p157","mottled emigrant","Catopsilia pyranthe","Catopsilia pyranthe"
"482","Gabriele et al. 2020","p158","african wild dog","Lycaon pictus","Lycaon pictus"
"483","Gabriele et al. 2020","p158","african wild dog","Lycaon pictus","Lycaon pictus"
"484","Schaub & von Hirschheydt 2009","p159","barn swallow","Hirundo rustica","Hirundo rustica"
"485","Schaub & von Hirschheydt 2009","p159","barn swallow","Hirundo rustica","Hirundo rustica"
"486","Hebblewhite & Whittington 2020","p160","gray wolf","Canis lupus & Canis lupus arabs","Canis lupus"
"487","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"488","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"489","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"490","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"491","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"492","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"493","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"494","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"495","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"496","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"497","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"498","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"499","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"500","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"501","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"502","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"503","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"504","Martinig et al. 2020","p161","north american red squirrel","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"505","Öst et al. 2011","p162","eider","Somateria mollissima","Somateria mollissima"
"506","Woodroffe et al. 2020","p163","african wild dog","Lycaon pictus","Lycaon pictus"
"507","Plummer et al. 2020","p164","red-bellied mudsnake","Farancia abacura","Farancia abacura"
"508","Luna et al. 2020","p165","burrowing owl","Athene cunicularia","Athene cunicularia"
"509","Luna et al. 2020","p165","burrowing owl","Athene cunicularia","Athene cunicularia"
"510","Nicolaus et al. 2019","p166","pied flycatcher","Ficedula hypoleuca","Ficedula hypoleuca"
"511","Nicolaus et al. 2019","p166","pied flycatcher","Ficedula hypoleuca","Ficedula hypoleuca"
"512","Wiebe 2020","p167","northern flicker","Colaptes auratus","Colaptes auratus"
"513","Wiebe 2020","p167","northern flicker","Colaptes auratus","Colaptes auratus"
"514","Fuirst et al. 2021","p168","canada jay","Perisoreus canadensis","Perisoreus canadensis"
"515","Fuirst et al. 2021","p168","canada jay","Perisoreus canadensis","Perisoreus canadensis"
"516","Fuirst et al. 2021","p168","canada jay","Perisoreus canadensis","Perisoreus canadensis"
"517","Fuirst et al. 2021","p168","canada jay","Perisoreus canadensis","Perisoreus canadensis"
"518","Warren et al. 2017","p169","southeastern pocket gopher","Geomys pinetis","Geomys pinetis"
"519","Irwin et al. 2021","p170","red-fronted parakeets","Cyanoramphus novaezelandiae","Cyanoramphus novaezelandiae"
"520","Harrison et al. 2021","p171","meerkat","Suricata suricatta","Suricata suricatta"
"521","Harrison et al. 2021","p171","meerkat","Suricata suricatta","Suricata suricatta"
"522","Harrison et al. 2021","p171","meerkat","Suricata suricatta","Suricata suricatta"
"523","Harrison et al. 2021","p171","meerkat","Suricata suricatta","Suricata suricatta"
"524","Harrison et al. 2021","p171","meerkat","Suricata suricatta","Suricata suricatta"
"525","Marzluff et al. 2016","p172","songbird (bewick's wren, dark-eyed junco, spotted towhee, song sparrow)","Passeriformes","Junco hyemalis"
"526","Marzluff et al. 2016","p172","songbird (bewick's wren, dark-eyed junco, spotted towhee, song sparrow)","Passeriformes","Junco hyemalis"
"527","Marzluff et al. 2016","p172","songbird (bewick's wren, dark-eyed junco, spotted towhee, song sparrow)","Passeriformes","Junco hyemalis"
"528","Marzluff et al. 2016","p172","songbird (bewick's wren, dark-eyed junco, spotted towhee, song sparrow)","Passeriformes","Junco hyemalis"
"529","Bensch et al. 1998","p173","great reed warbler","Acrocephalus arundinaceus","Acrocephalus arundinaceus"
"530","Bensch et al. 1998","p173","great reed warbler","Acrocephalus arundinaceus","Acrocephalus arundinaceus"
"531","Bensch et al. 1998","p173","great reed warbler","Acrocephalus arundinaceus","Acrocephalus arundinaceus"
"532","Bensch et al. 1998","p173","great reed warbler","Acrocephalus arundinaceus","Acrocephalus arundinaceus"
"533","Bensch et al. 1998","p173","great reed warbler","Acrocephalus arundinaceus","Acrocephalus arundinaceus"
"534","Bensch et al. 1998","p173","great reed warbler","Acrocephalus arundinaceus","Acrocephalus arundinaceus"
"535","Orell et al. 1999","p174","willow tit","Poecile montanus","Poecile montanus"
"536","Orell et al. 1999","p174","willow tit","Poecile montanus","Poecile montanus"
"537","Orell et al. 1999","p174","willow tit","Poecile montanus","Poecile montanus"
"538","Orell et al. 1999","p174","willow tit","Poecile montanus","Poecile montanus"
"539","Orell et al. 1999","p174","willow tit","Poecile montanus","Poecile montanus"
"540","Orell et al. 1999","p174","willow tit","Poecile montanus","Poecile montanus"
"541","Orell et al. 1999","p174","willow tit","Poecile montanus","Poecile montanus"
"542","Orell et al. 1999","p174","willow tit","Poecile montanus","Poecile montanus"
"543","Orell et al. 1999","p174","willow tit","Poecile montanus","Poecile montanus"
"544","Orell et al. 1999","p174","willow tit","Poecile montanus","Poecile montanus"
"545","Julliard et al. 1996","p175","blue tit","Cyanistes caeruleus","Cyanistes caeruleus"
"546","Julliard et al. 1996","p175","blue tit","Cyanistes caeruleus","Cyanistes caeruleus"
"547","Julliard et al. 1996","p175","blue tit","Cyanistes caeruleus","Cyanistes caeruleus"
"548","Josi et al. 2021","p176","striped brichardi","Neolamprologus savoryi","Neolamprologus savoryi"
"549","Josi et al. 2021","p176","striped brichardi","Neolamprologus savoryi","Neolamprologus savoryi"
"550","Pittman & Bartoszek 2021","p177","burmese python","Python bivittatus","Python bivittatus"
"551","Pittman & Bartoszek 2021","p177","burmese python","Python bivittatus","Python bivittatus"
"552","Long et al. 2021","p178","white-tailed deer","Odocoileus virginianus","Odocoileus virginianus"
"553","Long et al. 2021","p178","white-tailed deer","Odocoileus virginianus","Odocoileus virginianus"
"554","Novoa et al. 2021","p179","rock ptarmigan","Lagopus muta","Lagopus muta"
"555","McCleery & Clobert 1990","p180","great tit","Parus major","Parus major"
"556","McCleery & Clobert 1990","p180","great tit","Parus major","Parus major"
"557","McCleery & Clobert 1990","p180","great tit","Parus major","Parus major"
"558","McCleery & Clobert 1990","p180","great tit","Parus major","Parus major"
"559","Marr et al. 2002","p181","song sparrow","Melospiza melodia","Melospiza melodia"
"560","Marr et al. 2003","p181","song sparrow","Melospiza melodia","Melospiza melodia"
"561","Marr et al. 2004","p181","song sparrow","Melospiza melodia","Melospiza melodia"
"562","Marr et al. 2005","p181","song sparrow","Melospiza melodia","Melospiza melodia"
"563","Marr et al. 2005","p181","song sparrow","Melospiza melodia","Melospiza melodia"
"564","Marr et al. 2006","p181","song sparrow","Melospiza melodia","Melospiza melodia"
"565","Marr et al. 2007","p181","song sparrow","Melospiza melodia","Melospiza melodia"
"566","Marr et al. 2008","p181","song sparrow","Melospiza melodia","Melospiza melodia"
"567","Marr et al. 2009","p181","song sparrow","Melospiza melodia","Melospiza melodia"
"568","Marr et al. 2010","p181","song sparrow","Melospiza melodia","Melospiza melodia"
"569","Marr et al. 2010","p181","song sparrow","Melospiza melodia","Melospiza melodia"
"570","Pakanen et al. 2022","p182","southern dunlin","Calidris alpina schinzii","Calidris alpina"
"571","Pakanen et al. 2022","p182","southern dunlin","Calidris alpina schinzii","Calidris alpina"
"572","Shah & Rubenstein 2022","p183","superb starling","Lamprotornis superbus","Lamprotornis superbus"
"573","Shah & Rubenstein 2022","p183","superb starling","Lamprotornis superbus","Lamprotornis superbus"
"574","Shah & Rubenstein 2022","p183","superb starling","Lamprotornis superbus","Lamprotornis superbus"
"575","Shah & Rubenstein 2022","p183","superb starling","Lamprotornis superbus","Lamprotornis superbus"
"576","Shah & Rubenstein 2022","p183","superb starling","Lamprotornis superbus","Lamprotornis superbus"
"577","Shah & Rubenstein 2022","p183","superb starling","Lamprotornis superbus","Lamprotornis superbus"
"578","Wheelwright & Mauck 1998","p184","savannah sparrows","Passerculus sandwichensis","Passerculus sandwichensis"
"579","Wheelwright & Mauck 1998","p184","savannah sparrows","Passerculus sandwichensis","Passerculus sandwichensis"
"580","Wheelwright & Mauck 1998","p184","savannah sparrows","Passerculus sandwichensis","Passerculus sandwichensis"
"581","Wheelwright & Mauck 1998","p184","savannah sparrows","Passerculus sandwichensis","Passerculus sandwichensis"
"582","Wheelwright & Mauck 1998","p184","savannah sparrows","Passerculus sandwichensis","Passerculus sandwichensis"
"583","Wheelwright & Mauck 1998","p184","savannah sparrows","Passerculus sandwichensis","Passerculus sandwichensis"
"584","Wheelwright & Mauck 1998","p184","savannah sparrows","Passerculus sandwichensis","Passerculus sandwichensis"
"585","Wheelwright & Mauck 1998","p184","savannah sparrows","Passerculus sandwichensis","Passerculus sandwichensis"
"586","Wheelwright & Mauck 1998","p184","savannah sparrows","Passerculus sandwichensis","Passerculus sandwichensis"
"587","Wheelwright & Mauck 1998","p184","savannah sparrows","Passerculus sandwichensis","Passerculus sandwichensis"
"588","Wheelwright & Mauck 1998","p184","savannah sparrows","Passerculus sandwichensis","Passerculus sandwichensis"
"589","Wheelwright & Mauck 1998","p184","savannah sparrows","Passerculus sandwichensis","Passerculus sandwichensis"
"590","Otterbeck et al. 2022","p185","goshawk","Accipiter gentilis","Accipiter gentilis"
"591","Fargallo & López-Rull 2022","p186","common kestrel","Falco tinnunculus","Falco tinnunculus"
"592","Fargallo & López-Rull 2022","p186","common kestrel","Falco tinnunculus","Falco tinnunculus"
"593","Fargallo & López-Rull 2022","p186","common kestrel","Falco tinnunculus","Falco tinnunculus"
"594","Fargallo & López-Rull 2022","p186","common kestrel","Falco tinnunculus","Falco tinnunculus"
"595","Fargallo & López-Rull 2022","p186","common kestrel","Falco tinnunculus","Falco tinnunculus"
"596","Fargallo & López-Rull 2022","p186","common kestrel","Falco tinnunculus","Falco tinnunculus"
"597","Fargallo & López-Rull 2022","p186","common kestrel","Falco tinnunculus","Falco tinnunculus"
"598","Fargallo & López-Rull 2022","p186","common kestrel","Falco tinnunculus","Falco tinnunculus"
"599","Byrne et al. 2022","p187","wild turkey","Meleagris gallopavo","Meleagris gallopavo"
"600","Borges et al. 2022","p188","trinidadian guppy","Poecilia reticulata","Poecilia reticulata"
"601","Borges et al. 2022","p188","trinidadian guppy","Poecilia reticulata","Poecilia reticulata"
"602","Campera et al. 2020","p189","javan slow loris","Nycticebus javanicus","Nycticebus javanicus"
"603","DiLeo et al. 2022","p190","glanville fritillary butterfly","Melitaea cinxia","Melitaea cinxia"
"604","Verhulst & van Eck 1996","p191","great tit","Parus major","Parus major"
"605","Verhulst & van Eck 1996","p191","great tit","Parus major","Parus major"
"606","Maag et al. 2022","p192","meerkat","Suricata suricatta","Suricata suricatta"
"607","Maag et al. 2022","p192","meerkat","Suricata suricatta","Suricata suricatta"
"608","Maag et al. 2022","p192","meerkat","Suricata suricatta","Suricata suricatta"
"609","Maag et al. 2022","p192","meerkat","Suricata suricatta","Suricata suricatta"
"610","Maag et al. 2022","p192","meerkat","Suricata suricatta","Suricata suricatta"
"611","Ostreiher et al. 2022","p193","arabian babbler","Argya squamiceps","Argya squamiceps"
"612","Ostreiher et al. 2022","p193","arabian babbler","Argya squamiceps","Argya squamiceps"
"613","Barbraud & Delord 2023","p194","southern fulmar","Fulmarus glacialoides","Fulmarus glacialoides"
"614","Barbraud & Delord 2023","p194","southern fulmar","Fulmarus glacialoides","Fulmarus glacialoides"
"615","Barbraud & Delord 2023","p194","snow petrel","Pagodroma nivea","Pagodroma nivea"
"616","Barbraud & Delord 2023","p194","snow petrel","Pagodroma nivea","Pagodroma nivea"
"617","Barbraud & Delord 2023","p194","snow petrel","Pagodroma nivea","Pagodroma nivea"
"618","Barbraud & Delord 2023","p194","snow petrel","Pagodroma nivea","Pagodroma nivea"
"619","Barbraud & Delord 2023","p194","wandering albatross","Diomedea exulans","Diomedea exulans"
"620","Barbraud & Delord 2023","p194","wandering albatross","Diomedea exulans","Diomedea exulans"
"621","Barbraud & Delord 2023","p194","wandering albatross","Diomedea exulans","Diomedea exulans"
"622","Barbraud & Delord 2023","p194","wandering albatross","Diomedea exulans","Diomedea exulans"
"623","Hansen et al. 2023","p195","brown bear","Ursus arctos","Ursus arctos"
"624","Hansen et al. 2023","p195","brown bear","Ursus arctos","Ursus arctos"
"625","Hansen et al. 2023","p195","brown bear","Ursus arctos","Ursus arctos"
"626","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","Homo sapiens sapiens"
"627","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","Homo sapiens sapiens"
"628","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","Homo sapiens sapiens"
"629","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","Homo sapiens sapiens"
"630","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","Homo sapiens sapiens"
"631","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","Homo sapiens sapiens"
"632","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","Homo sapiens sapiens"
"633","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","Homo sapiens sapiens"
"634","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","Homo sapiens sapiens"
"635","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","Homo sapiens sapiens"
"636","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","Homo sapiens sapiens"
"637","Nitsch et al. 2023","p196","human","Homo sapiens sapiens","Homo sapiens sapiens"
"638","Mobley et al. 2019","p197","Atlantic salmon","Salmo salar","Salmo salar"
"639","Mobley et al. 2019","p197","Atlantic salmon","Salmo salar","Salmo salar"
"640","Mobley et al. 2019","p197","Atlantic salmon","Salmo salar","Salmo salar"
"641","Mobley et al. 2019","p197","Atlantic salmon","Salmo salar","Salmo salar"
"642","Passarotto et al. 2023","p198","tawny owl","Strix aluco","Strix aluco"
"643","Passarotto et al. 2023","p198","tawny owl","Strix aluco","Strix aluco"
"644","Passarotto et al. 2023","p198","tawny owl","Strix aluco","Strix aluco"
"645","Passarotto et al. 2023","p198","tawny owl","Strix aluco","Strix aluco"
"646","Spence-Jones et al. 2021","p068","meerkat","Suricata suricatta","Suricata suricatta"
"647","Spence-Jones et al. 2021","p068","meerkat","Suricata suricatta","Suricata suricatta"
"648","Spence-Jones et al. 2021","p068","meerkat","Suricata suricatta","Suricata suricatta"
"649","Behr et al. 2022","p199","african wild dog","Lycaon pictus","Lycaon pictus"
"650","Behr et al. 2022","p199","african wild dog","Lycaon pictus","Lycaon pictus"
"651","Behr et al. 2022","p199","african wild dog","Lycaon pictus","Lycaon pictus"
"652","Behr et al. 2022","p199","african wild dog","Lycaon pictus","Lycaon pictus"
"653","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"654","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"655","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"656","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"657","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"658","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"659","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"660","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"661","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"662","Pärt 1990","p200","collared flycatcher","Ficedula albicollis","Ficedula albicollis"
"663","Dickel et al. 2023","p201","song sparrow","Melospiza melodia","Melospiza melodia"
"664","Dickel et al. 2023","p201","song sparrow","Melospiza melodia","Melospiza melodia"
"665","Dickel et al. 2023","p201","song sparrow","Melospiza melodia","Melospiza melodia"
"666","Dickel et al. 2023","p201","song sparrow","Melospiza melodia","Melospiza melodia"
